store,date,avg_diff,avg_g,total_diff,note
エスパス秋葉原駅前店 ,7/21(⽉),59,4403,30696,いざ！番⻑
エスパス秋葉原駅前店 ,7/20(⽇),106,5112,55172,吉宗
エスパス秋葉原駅前店 ,7/19(⼟),110,4749,57406,L東京喰種
エスパス秋葉原駅前店 ,7/18(⾦),234,4393,121572,末尾2
エスパス秋葉原駅前店 ,7/17(⽊),-56,2914,-29150,"7/16(⽔) +128 3,756 +66,784 いざ！番⻑"
エスパス秋葉原駅前店 ,7/15(⽕),-31,2790,-16101,いざ！番⻑
エスパス秋葉原駅前店 ,7/14(⽉),300,3897,156147,スマスロ 七つの魔剣が⽀配する
エスパス秋葉原駅前店 ,7/13(⽇),368,4917,191507,Lバンドリ！
エスパス秋葉原駅前店 ,7/12(⼟),79,4912,41302,吉宗
エスパス秋葉原駅前店 ,7/11(⾦),-38,3550,-20209,回胴式遊技機グランベルム
エスパス秋葉原駅前店 ,7/10(⽊),255,4179,132842,スロット ゾンビランドサガ
エスパス秋葉原駅前店 ,7/9(⽔),67,3074,35056,"7/8(⽕) +151 2,682 +78,643 Lパチスロガールズ＆パンツァー 最終章"
エスパス秋葉原駅前店 ,7/7(⽉),-261,5713,-135883,緑ドン VIVA!情熱南⽶編 REVIVAL
エスパス秋葉原駅前店 ,7/6(⽇),97,5129,50745,この素晴らしい世界に祝福を！
エスパス秋葉原駅前店 ,7/5(⼟),429,5351,223095,Lパチスロからくりサーカス
エスパス秋葉原駅前店 ,7/4(⾦),252,4379,130955,ToLOVEるダークネス TRANCE ver.8.7
エスパス秋葉原駅前店 ,7/3(⽊),29,3377,15295,ToLOVEるダークネス TRANCE ver.8.7
エスパス秋葉原駅前店 ,7/2(⽔),-78,2740,-40729,"7/1(⽕) +21 3,209 +10,918"
エスパス秋葉原駅前店 ,6/30(⽉),275,4478,142973,L少⼥☆歌劇 レヴュースタァライト -The SLOT-
エスパス秋葉原駅前店 ,6/29(⽇),-359,4524,-186634,ToLOVEるダークネス TRANCE ver.8.7
エスパス秋葉原駅前店 ,6/28(⼟),10,5138,5332,L⿇雀物語
エスパス秋葉原駅前店 ,6/27(⾦),72,3283,37490,"6/26(⽊) -105 3,389 -54,769 この素晴らしい世界に祝福を！"
エスパス秋葉原駅前店 ,6/25(⽔),272,3481,141261,スマスロ マギアレコード 魔法少⼥まどか☆マギカ外伝
エスパス秋葉原駅前店 ,6/24(⽕),265,3751,137851,吉宗
エスパス秋葉原駅前店 ,6/23(⽉),135,2799,70195,デビル メイ クライ5 スタイリッシュトライブ
エスパス秋葉原駅前店 ,6/22(⽇),0,4344,451,L 真・⼀騎当千
エスパス秋葉原駅前店 ,6/21(⼟),207,5319,107862,いざ！番⻑
エスパス秋葉原駅前店 ,6/20(⾦),-31,3770,-16327,L 真・⼀騎当千
エスパス秋葉原駅前店 ,6/19(⽊),-132,2926,-68733,Lバンドリ！
エスパス秋葉原駅前店 ,6/18(⽔),402,3818,208918,ToLOVEるダークネス TRANCE ver.8.7
エスパス秋葉原駅前店 ,6/17(⽕),-11,2821,-6084,"6/16(⽉) -17 3,898 -9,111 ひぐらしのなく頃に祭2"
エスパス秋葉原駅前店 ,6/15(⽇),209,5094,108519,スマスロ シャーマンキング
エスパス秋葉原駅前店 ,6/14(⼟),417,4934,216936,パチスロ 甲鉄城のカバネリ
エスパス秋葉原駅前店 ,6/13(⾦),599,4375,311008,L戦国⼄⼥４ 戦乱に閃く炯眼の軍師
エスパス秋葉原駅前店 ,6/12(⽊),-168,3489,-87264,"6/11(⽔) +92 3,060 +47,878"
エスパス秋葉原駅前店 ,6/10(⽕),221,4610,114972,ハッピージャグラーＶＩＩＩ
エスパス秋葉原駅前店 ,6/9(⽉),-36,2945,-18824,"6/8(⽇) -184 4,079 -95,994 スロット ゾンビランドサガ"
エスパス秋葉原駅前店 ,6/7(⼟),493,5253,255890,末尾7
