round,regret1_mean,regret1_std,regret2_mean,regret2_std
179,27.05964646464637,3.8086684496221053,7.2035353535353615,2.3133324975365683
180,27.220606060605974,3.8403916784693393,7.258939393939401,2.2904436149733356
181,27.40348484848476,3.800542796215093,7.251010101010107,2.284158513386075
182,27.56747474747466,3.759631207125269,7.268080808080815,2.300247707612361
183,27.742676767676667,3.7637989071614064,7.282525252525261,2.291257547029964
184,27.90171717171708,3.753001955935641,7.297727272727281,2.2971810549907126
185,28.077979797979705,3.8111996123872127,7.338787878787889,2.3254422602912306
186,28.28454545454534,3.778001412653601,7.3473232323232445,2.3262768648932473
187,28.487121212121114,3.7831587005564966,7.370757575757583,2.3231425207720724
188,28.636313131313024,3.8125313257982025,7.376767676767684,2.348765487739531
189,28.80651515151504,3.8074657686619364,7.37161616161617,2.3521907525960426
190,28.981868686868584,3.812646774686507,7.390505050505059,2.3506690049732204
191,29.119545454545356,3.8444903615016837,7.41828282828284,2.357765996409994
192,29.295505050504943,3.8677659646480484,7.4266666666666765,2.367996225044362
193,29.473585858585754,3.8819102972455943,7.4338888888888945,2.408524603091616
194,29.676313131313027,3.891228870647753,7.453232323232332,2.403710572824101
195,29.847727272727152,3.8744586908926544,7.516565656565665,2.415670881890011
196,30.032121212121105,3.916379192180047,7.543131313131323,2.4331244506577416
197,30.196212121212028,3.9742766252374113,7.568484848484858,2.4247873251245124
198,30.387878787878673,3.9767273956749833,7.5957575757575855,2.43476220464422
199,30.558232323232204,4.023886848350655,7.604141414141421,2.459198190307218
200,30.698939393939284,4.032779668340673,7.615858585858593,2.4260227911134247
201,30.886969696969583,4.073144042077461,7.63823232323233,2.4067792368154346
202,31.060353535353414,4.113217536392059,7.668131313131317,2.427178808235244
203,31.25353535353523,4.082130186371267,7.676464646464654,2.4355783803298086
204,31.40696969696957,4.077389005470058,7.693434343434351,2.432148251617316
205,31.634292929292805,4.112285408875749,7.693686868686879,2.424747146007023
206,31.780101010100893,4.148615285226817,7.722424242424255,2.4381534709118795
207,31.96853535353523,4.160871688277012,7.76353535353536,2.4648400300708038
208,32.15090909090897,4.151753555542554,7.784343434343441,2.475783693592694
209,32.32378787878775,4.1592386740629905,7.820909090909097,2.477490071706151
210,32.479646464646336,4.164970665236553,7.838333333333339,2.432044420809239
211,32.66777777777765,4.186755708775287,7.844393939393948,2.41297420063061
212,32.84378787878775,4.172527084965126,7.870959595959603,2.44012049482864
213,33.00444444444431,4.180761729141372,7.858636363636368,2.4426634399042544
214,33.18065656565644,4.234830075009786,7.8646969696969755,2.4416221806565876
215,33.379848484848345,4.263228707906297,7.855000000000002,2.420289000203427
216,33.564393939393796,4.272478046018311,7.876161616161621,2.408119733093316
217,33.75823232323218,4.332935022957507,7.91641414141415,2.4131314584733903
