round,bid1_mean,bid1_std,bid2_mean,bid2_std
48,4.698181818181817,1.0902937658575182,3.2612121212121212,1.5312525107267512
49,4.847272727272728,1.2153889286701127,3.564242424242422,1.2732378485249474
50,4.567272727272728,1.1675445732726921,3.2957575757575754,1.5232939997694797
51,4.543636363636361,1.1427081071655256,3.6993939393939406,1.335203096707845
52,4.780000000000001,1.2995981578552758,3.284242424242424,1.491788235500466
53,4.637272727272728,1.1526107626809383,3.7084848484848494,1.4192613089186827
54,4.780909090909091,1.1378604687223262,3.6769696969696977,1.4771241261701287
55,4.630909090909092,1.274078503490994,3.523636363636364,1.4567664861058969
56,4.67909090909091,1.3244961618081896,3.6139393939393942,1.5215297265933565
57,4.6536363636363625,1.1999101206009815,3.4418181818181837,1.5114450422368917
58,4.919090909090911,1.0734123390322923,3.3993939393939394,1.3653482856877532
59,4.846363636363637,1.0201843132776798,3.4212121212121223,1.5323958087258502
60,4.668181818181816,1.0108808858066596,3.3660606060606058,1.3657605004977726
61,5.022727272727272,1.2199698546607587,3.3442424242424225,1.6200166648804446
62,4.8245454545454525,1.2625079985017884,3.588484848484849,1.416634613152206
63,4.978181818181818,1.1995949729694406,3.8412121212121217,1.3670067439542968
64,4.699090909090909,1.1423258136200942,3.7187878787878783,1.1390237954544982
65,4.7027272727272695,1.1542129084430346,3.581212121212121,1.4480180558868978
66,4.822727272727272,1.1565390804586329,3.513333333333333,1.3557199165737275
67,4.920000000000001,1.205996039081801,3.586060606060607,1.3372409681112918
68,4.862727272727272,0.9681280394795135,3.5503030303030294,1.574992354988952
69,4.9081818181818155,1.006384166662558,3.611515151515152,1.48975306253346
70,4.583636363636363,1.0977949348618186,3.6527272727272733,1.393988273187807
71,4.85181818181818,1.1143433748287794,3.5575757575757585,1.4076401785825676
72,5.048181818181817,1.195062500526767,3.841818181818181,1.3198184197672893
73,4.798181818181819,0.8424266405023638,3.5006060606060614,1.4460387612970664
74,4.785454545454546,1.010892740220942,3.4199999999999995,1.5112739473653702
75,4.814545454545455,1.1584343951790645,3.686666666666667,1.3821651611145154
76,4.981818181818184,1.0907575652342287,3.5575757575757576,1.4025688094995852
77,4.996363636363637,0.9906938882244554,3.4127272727272735,1.4506689505329615
78,4.631818181818183,0.9875568819269714,3.474545454545455,1.548435746122984
79,4.95090909090909,0.8330388460379649,3.466666666666666,1.4816911391286203
80,4.916363636363636,1.1042876616486401,3.478787878787878,1.4720412418864184
81,4.930909090909088,1.0038043337702165,3.544242424242425,1.4133426892980003
82,4.911818181818182,0.9362713988109456,3.7975757575757574,1.331933700647337
83,4.94272727272727,0.9982343917269363,3.3975757575757575,1.5077594223435475
84,5.015454545454547,0.8859840679126467,3.66,1.4521924149083534
