mc_run,regret1,regret2,utility1,utility2,win_rate1,win_rate2
57,326.3636363634987,178.93939393939803,5820.909090909028,125.06060606060613,0.8775,0.1225
58,345.54545454531853,150.8484848484884,5822.409090909025,151.33333333333388,0.872,0.128
59,336.4545454544141,157.7424242424221,5828.318181818112,124.6666666666667,0.885,0.115
60,288.36363636350507,149.8787878787863,5866.863636363566,118.21212121212127,0.892,0.108
61,322.454545454415,154.95454545454368,5834.363636363565,120.36363636363647,0.884,0.116
62,381.18181818168887,153.30303030303386,5804.272727272653,146.3333333333338,0.874,0.126
63,324.6363636362339,150.60606060606386,5832.181818181747,133.21212121212147,0.88,0.12
64,314.49999999987267,149.1212121212158,5877.3181818181065,171.4242424242432,0.869,0.131
65,271.045454545324,180.06060606061038,5952.590909090834,136.848484848485,0.885,0.115
66,323.95454545441225,170.59090909090534,5863.09090909084,132.2727272727274,0.88,0.12
67,380.4090909089564,155.45454545454186,5801.863636363569,139.63636363636402,0.875,0.125
68,281.727272727132,158.39393939393602,5860.772727272668,134.24242424242442,0.8845,0.1155
69,338.6818181816843,157.4696969696936,5853.136363636294,133.3939393939396,0.8825,0.1175
70,327.59090909077077,170.24242424242198,5826.045454545392,112.57575757575775,0.879,0.121
71,375.18181818168523,150.18181818181353,5810.272727272658,163.45454545454606,0.874,0.126
72,283.09090909076895,186.78787878788302,5864.181818181757,116.4848484848484,0.8825,0.1175
73,383.4545454544168,147.3787878787869,5744.727272727202,114.84848484848494,0.88,0.12
74,429.40909090896,136.31818181817826,5738.545454545383,155.90909090909147,0.866,0.134
75,363.8181818181183,146.49999999999702,5768.545454545385,140.27272727272768,0.874,0.126
76,353.31818181805465,159.13636363636058,5836.9090909090155,136.9090909090912,0.878,0.122
77,315.18181818166795,160.2272727272693,5852.772727272676,133.36363636363652,0.8755,0.1245
78,315.9090909089655,155.0000000000034,5834.5454545453795,126.81818181818187,0.8815,0.1185
79,352.72727272712746,154.72727272727604,5767.499999999945,122.72727272727282,0.877,0.123
80,366.18181818168614,154.62121212120985,5790.636363636294,125.60606060606062,0.875,0.125
81,347.04545454531217,161.7121212121176,5830.454545454485,134.6060606060608,0.881,0.119
82,343.9090909089455,153.37878787878515,5808.136363636308,133.12121212121218,0.8785,0.1215
83,267.8181818180483,164.272727272731,5919.227272727203,130.81818181818193,0.888,0.112
84,313.3636363635014,181.0151515151474,5891.18181818175,132.75757575757586,0.8825,0.1175
85,236.2727272725915,177.454545454543,5926.909090909025,96.36363636363642,0.897,0.103
86,351.7727272725997,156.28787878787574,5808.227272727199,133.21212121212142,0.8795,0.1205
87,393.40909090896,168.1515151515191,5803.181818181746,145.66666666666703,0.866,0.134
88,321.5909090907717,147.59090909090685,5830.454545454481,132.90909090909105,0.883,0.117
89,407.09090909076986,149.3333333333371,5760.863636363573,170.84848484848558,0.859,0.141
90,338.18181818168796,176.21212121211795,5847.272727272655,126.24242424242429,0.879,0.121
91,319.36363636351234,171.27272727272353,5874.045454545375,129.81818181818184,0.8815,0.1185
92,324.5909090907835,153.59090909090804,5840.181818181742,107.81818181818191,0.8925,0.1075
93,323.99999999986994,168.1515151515132,5839.181818181747,112.4848484848485,0.8865,0.1135
94,296.363636363516,152.36363636363527,5874.772727272646,106.45454545454558,0.8925,0.1075
95,349.4999999998672,160.90909090909454,5853.454545454475,139.45454545454575,0.8785,0.1215
96,329.4545454544086,177.78787878787642,5817.818181818118,108.03030303030312,0.883,0.117
97,317.8181818180474,147.6060606060638,5818.318181818116,124.21212121212125,0.883,0.117
98,313.54545454532035,179.43939393939058,5844.86363636357,119.06060606060606,0.88,0.12
99,262.99999999985994,165.95454545454157,5900.181818181757,135.27272727272742,0.883,0.117
